"","STRING","initial1...2","initial1...3","initial1...4","1a...5","1a...6","1a...7","1b...8","1b...9","1b...10","1c...11","1c...12","1c1","1d...14","1d...15","1d...16","1e...17","1e...18","1e...19","initial2...20","initial2...21","initial2...22","2a...23","2a...24","2a...25","2b...26","2b...27","2b...28","2c...29","2c...30","2c...31","2d...32","2d...33","2d...34","2e...35","2e...36","2e...37","initial3...38","initial3...39","initial3...40","3a...41","3a...42","3a...43","3b...44","3b...45","3b...46","3c...47","3c...48","3c...49","3d...50","3d...51","3d...52","initial4...53","initial4...54","initial4...55","4a...56","4a...57","4a...58","4b...59","4b...60","4b...61","4c...62","4c...63","4c...64","initial5...65","initial5...66","initial5...67","5a...68","5a...69","5a...70","5b...71","5b...72","5b...73","5c...74","5c...75","5c...76","initial6...77","initial6...78","initial6...79","6a...80","6a...81","6a...82","6b...83","6b...84","6b...85","6c...86","6c...87","6c...88","MEANING","AGE","bin"
"1","a","eɪ","a","eɪ+a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"one, any","2.11236425925926","(2,3]"
"2","a","ə","a","ə+a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"one, any","2.11236425925926","(2,3]"
"3","airplane","ɛ","ai","ɛ+ai","r","r","r+r",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p","p","p+p","l","l","l+l","eɪ","a","eɪ+a_e","n","n","n+n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"flying machine","2.47190672153635","(2,3]"
"4","all","ɔ","a","ɔ+a","l","ll","l+ll",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"the whole","2.8161733543883","(2,3]"
"5","and","æ","a","æ+a","n","n","n+n","d","d","d+d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"also","2.595148187751","(2,3]"
"6","animal","æ","a","æ+a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n","n","n+n","ə","i","ə+i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m","m","m+m","ə","a","ə+a","l","l","l+l",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a beast","2.81627945736434","(2,3]"
"7","apple","æ","a","æ+a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p","pp","p+pp","ə",NA,"ə+_","l","l","l+l",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a fruit","2.34669393939394","(2,3]"
"8","arm","ɑ","a","ɑ+a","r","r","r+r","m","m","m+m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"part of body","2.80017634310134","(2,3]"
"9","at","æ","a","æ+a","t","t","t+t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"in or on","2.92138815332603","(2,3]"
"10","baby","b","b","b+b","eɪ","a","eɪ+a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"b","b","b+b","i","y","i+y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"new-born child","2.18955381673882","(2,3]"
"11","bad","b","b","b+b","æ","a","æ+a","d","d","d+d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"naughty","2.26539284018065","(2,3]"
"12","ball","b","b","b+b","ɑ","a","ɑ+a","l","ll","l+ll",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"round toy","2.03965444476735","(2,3]"
"13","balloon","b","b","b+b","ə","a","ə+a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"l","ll","l+ll","u","oo","u+oo","n","n","n+n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"air-filled ball","2.27221888449715","(2,3]"
"14","banana","b","b","b+b","ə","a","ə+a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n","n","n+n","æ","a","æ+a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n","n","n+n","ə","a","ə+a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yellow-skinned fruit","2.29661857487923","(2,3]"
"15","bath","b","b","b+b","æ","a","æ+a","θ","th","θ+th",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"wash","2.2681832717803","(2,3]"
"16","bathroom","b","b","b+b","æ","a","æ+a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"θ","th","θ+th","r","r","r+r","u","oo","u+oo","m","m","m+m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"where bathtub is","2.42717575757576","(2,3]"
"17","bathtub","b","b","b+b","æ","a","æ+a","θ","th","θ+th",NA,NA,NA,NA,NA,NA,NA,NA,NA,"t","t","t+t","ʌ","u","ʌ+u","b","b","b+b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"where people bathe","2.49818944844125","(2,3]"
"18","beans","b","b","b+b","i","ea","i+ea","n","n","n+n","z","s","z+s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vegetable","2.92265792410714","(2,3]"
"19","bed","b","b","b+b","ɛ","e","ɛ+e","d","d","d+d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sleeping place","2.15128539656282","(2,3]"
"20","bedroom","b","b","b+b","ɛ","e","ɛ+e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d","d","d+d","r","r","r+r","u","oo","u+oo","m","m","m+m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sleeping room","2.85226641414141","(2,3]"
"21","bicycle","b","b","b+b","aɪ","i","aɪ+i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"s","c","s+c","ɪ","y","ɪ+y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"k","c","k+c","ə",NA,"ə+_","l","l","l+l",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a two-wheeler","2.91591954022988","(2,3]"
"22","big","b","b","b+b","ɪ","i","ɪ+i","g","g","g+g",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"large","2.27820040509259","(2,3]"
"23","bird","b","b","b+b","ɚ","i","ɚ+i","r","r","r+r","d","d","d+d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"flying creature","2.5185598478888","(2,3]"
"24","bite","b","b","b+b","aɪ","i","aɪ+i_e","t","t","t+t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sink teeth in","2.84576509856631","(2,3]"
"25","blanket","b","b","b+b","l","l","l+l","æ","a","æ+a","ŋ","n","ŋ+n",NA,NA,NA,NA,NA,NA,"k","k","k+k","ə","e","ə+e","t","t","t+t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"to cover","2.75433484848485","(2,3]"
"26","blanket","b","b","b+b","l","l","l+l","æ","a","æ+a","ŋ","n","ŋ+n",NA,NA,NA,NA,NA,NA,"k","k","k+k","ɪ","e","ɪ+e","t","t","t+t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"to cover","2.75433484848485","(2,3]"
"27","blue","b","b","b+b","l","l","l+l","u","ue","u+ue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sky color","2.6010388172043","(2,3]"
"28","boat","b","b","b+b","oʊ","oa","oʊ+oa","t","t","t+t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a vehicle","2.9236435125448","(2,3]"
"29","book","b","b","b+b","ʊ","oo","ʊ+oo","k","k","k+k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"many printed pages","2.34182682833432","(2,3]"
"30","bottle","b","b","b+b","ɑ","o","ɑ+o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"t","tt","t+tt","ə",NA,"ə+_","l","l","l+l",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hold in","2.70925023823137","(2,3]"
"31","bread","b","b","b+b","r","r","r+r","ɛ","ea","ɛ+ea","d","d","d+d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"food made in loaves","2.62813805799935","(2,3]"
"32","breakfast","b","b","b+b","r","r","r+r","eɪ","ea","eɪ+ea","k","k","k+k",NA,NA,NA,NA,NA,NA,"f","f","f+f","ə","a","ə+a","s","s","s+s","t","t","t+t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"morning meal","2.68695837497647","(2,3]"
"33","brother","b","b","b+b","r","r","r+r","ə","o","ə+o",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ð","th","ð+th","ɚ","e","ɚ+e","r","r","r+r",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"your parents' son","2.99618804713805","(2,3]"
"34","brush","b","b","b+b","r","r","r+r","ʌ","u","ʌ+u","ʃ","sh","ʃ+sh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"used for scrubbing","2.61583313394903","(2,3]"
"35","bus","b","b","b+b","ʌ","u","ʌ+u","s","s","s+s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"an automobile","2.5832231429417","(2,3]"
